juv_misd_count,age,juv_fel_count,c_charge_degree,sex,race,juv_other_count,priors_count,expert prediction,machine prediction,ground truth,proba_model,did_recid,provider
0.0833333333333333,0.0259740259740259,0.0,0.4,0.0,0.8,0.0,0.0,1,0,1,0.6873240145446678,1,H
0.0,0.1948051948051948,0.0,0.4,1.0,1.0,0.0,0.2758620689655172,1,1,1,0.9467436506560788,1,H
0.0,0.5064935064935064,0.0,0.6,1.0,1.0,0.0,0.2068965517241379,0,1,0,0.8633543363772638,1,H
0.0,0.2207792207792207,0.0,0.6,1.0,1.0,0.0,0.2068965517241379,0,1,0,0.8400419328461185,1,H
0.0,0.2077922077922078,0.0,0.6,1.0,0.4,0.0,0.0689655172413793,0,0,0,0.7885491047514307,0,H
0.0,0.1818181818181818,0.0,0.4,1.0,1.0,0.0,0.2068965517241379,0,1,0,0.7710868274485723,1,H
0.0,0.0909090909090909,0.0,0.4,1.0,0.8,0.0,0.0,0,0,0,0.8106588587751096,0,H
0.0,0.1038961038961039,0.0,0.6,1.0,0.6,0.0,0.0,1,0,1,0.8036381685077922,1,H
0.0,0.1688311688311688,0.0,0.8,1.0,1.0,0.0,0.0344827586206896,0,0,0,0.6631307846825513,0,H
0.0833333333333333,0.2077922077922078,0.0,0.6,1.0,1.0,0.0,0.2758620689655172,0,1,1,0.9159296418017188,1,M
0.0,0.5194805194805194,0.0,0.4,1.0,1.0,0.0,0.0,0,0,0,0.8113122478983743,0,H
0.0,0.2857142857142857,0.0,0.4,1.0,0.6,0.0,0.1724137931034483,0,0,0,0.7027745167163313,0,H
0.0,0.1948051948051948,0.0,0.6,1.0,0.6,0.0,0.0,0,0,0,0.8009826046712311,0,H
0.0,0.4545454545454545,0.0,0.6,1.0,1.0,0.0,0.2068965517241379,0,1,0,0.7862014139287175,1,H
0.0,0.1168831168831168,0.0,0.6,0.0,1.0,0.0,0.1379310344827586,1,0,1,0.7947291896349439,0,M
0.0,0.2467532467532467,0.0,0.4,1.0,1.0,0.0,0.1724137931034483,0,1,0,0.7149441653225214,1,H
0.0,0.2077922077922078,0.0,0.6,1.0,0.6,0.0,0.0,1,0,1,0.8406667925862775,0,M
0.0,0.2987012987012987,0.0,0.6,1.0,1.0,0.0,0.2413793103448276,1,1,1,0.7891271194195727,1,H
0.0,0.2727272727272727,0.0,0.6,1.0,1.0,0.0,0.1724137931034483,0,1,0,0.6775673275688305,0,H
0.0,0.3116883116883117,0.0,0.6,1.0,1.0,0.0,0.1034482758620689,0,0,0,0.5621003075471137,0,H
0.0,0.2597402597402597,0.0,0.6,0.0,0.8,0.0,0.0689655172413793,1,0,1,0.8517047118135432,0,M
0.0,0.2857142857142857,0.0,0.6,1.0,1.0,0.0,0.1379310344827586,0,0,0,0.6007159973573104,0,H
0.0,0.1558441558441558,0.0,0.6,1.0,1.0,0.0,0.2413793103448276,0,1,0,0.8058320013126357,1,H
0.0,0.3766233766233766,0.0,0.4,1.0,1.0,0.0,0.0689655172413793,0,0,0,0.8200025659326473,0,H
0.0,0.3376623376623376,0.0,0.6,1.0,0.8,0.0,0.7241379310344828,1,1,1,0.6874759624312254,1,H
0.0,0.5194805194805194,0.0,0.4,1.0,1.0,0.0,0.1379310344827586,0,0,0,0.6879092877752196,0,H
0.0,0.0259740259740259,0.0,0.4,1.0,0.4,0.0,0.0,0,0,0,0.6167488155886863,0,H
0.0,0.1558441558441558,0.0,0.6,1.0,0.8,0.0,0.0344827586206896,1,0,1,0.7255112290908098,1,H
0.0,0.4545454545454545,0.0,0.4,0.0,0.6,0.0,0.0,0,0,0,0.9476685866234384,0,H
0.0,0.0649350649350649,0.0,0.6,0.0,0.4,0.0,0.0689655172413793,1,0,1,0.9122465823701796,0,M
0.0,0.2207792207792207,0.0,0.6,1.0,1.0,0.0,0.2413793103448276,1,1,1,0.7296845878121565,1,H
0.0833333333333333,0.0259740259740259,0.0,0.4,1.0,1.0,0.0,0.0344827586206896,1,1,1,0.8510040854490866,1,H
0.0,0.1688311688311688,0.0,0.4,0.0,0.6,0.0,0.0,0,0,0,0.892168629163897,0,H
0.0833333333333333,0.2597402597402597,0.0,0.6,1.0,1.0,0.0,0.5172413793103449,0,1,0,0.9124683476730712,1,M
0.0,0.1688311688311688,0.0,0.8,0.0,0.8,0.0,0.2068965517241379,1,1,1,0.5775776864821961,1,H
0.0,0.3506493506493506,0.0,0.4,1.0,1.0,0.0,0.4137931034482758,0,1,0,0.8657050818890173,1,M
0.0,0.1298701298701298,0.0,0.4,1.0,1.0,0.0,0.0,0,0,0,0.6500910685355586,0,H
0.0,0.4415584415584415,0.0,0.6,1.0,0.8,0.0,0.0689655172413793,0,0,0,0.8971874241095915,0,H
0.0,0.4285714285714285,0.0,0.4,1.0,1.0,0.0,0.0,0,0,0,0.836437355224498,0,H
0.0,0.2077922077922078,0.0,0.4,1.0,0.6,0.0,0.0689655172413793,0,0,0,0.8201603008463053,0,H
0.0,0.5064935064935064,0.0,0.6,1.0,1.0,0.0,0.0344827586206896,1,0,0,0.8194893376838573,0,M
0.0,0.5844155844155844,0.0,0.2,1.0,0.8,0.0,0.0,0,0,0,0.8963396541534927,0,H
0.0,0.1428571428571428,0.0,0.8,0.0,0.8,0.0,0.1034482758620689,1,0,1,0.8831968428159953,0,M
0.0,0.1298701298701298,0.0,0.6,0.0,0.8,0.0,0.3793103448275862,1,1,1,0.763732872181015,1,H
0.0,0.2857142857142857,0.0,0.6,0.0,1.0,0.0,0.2413793103448276,1,1,1,0.7703651250913565,1,H
0.0,0.6103896103896104,0.0,0.2,1.0,0.4,0.0,0.0,0,0,0,0.9131397470018524,0,H
