sex,age,household_position,household_size,prev_residence_place,citizenship,country_birth,edu_level,economic_status,cur_eco_activity,marital_status,proba_model,ground truth,expert prediction,machine prediction,occupation,provider
1,0.1818181818181818,0.1909090909090909,0.0666666666666666,2,0.0,0.0,1.0,0.0,0.7142857142857143,0.0,0.9212349813999388,0,0,1,1,H
0,0.4545454545454545,0.0,0.2,1,0.0,0.0,1.0,1.0,0.7142857142857143,0.0,0.9425987860190668,1,0,1,1,M
0,0.8181818181818182,0.1,0.0666666666666666,1,0.0,1.0,1.0,0.0,0.7142857142857143,0.3333333333333333,0.9188466849879956,1,0,1,1,M
1,0.6363636363636364,0.1909090909090909,0.0666666666666666,1,0.0,0.0,1.0,1.0,0.8571428571428571,1.0,0.9793555133379778,1,1,1,1,H
1,0.0909090909090909,0.9090909090909092,0.0,1,1.0,1.0,0.8,0.1111111111111111,0.7142857142857143,0.0,0.5728015901721353,0,1,1,1,H
0,0.5454545454545454,0.109090909090909,0.9333333333333332,1,0.0,0.0,0.6,1.0,0.0,0.3333333333333333,0.854203264549905,1,1,1,1,H
0,0.2727272727272727,0.1,0.0666666666666666,2,0.0,0.0,1.0,0.0,0.7142857142857143,0.3333333333333333,0.9128590327823136,1,0,1,1,M
1,0.4545454545454545,0.9090909090909092,0.0,1,0.0,0.0,0.4,0.0,0.8571428571428571,0.0,0.9132958386683524,1,0,0,0,H
0,0.3636363636363636,0.2,0.1333333333333333,1,0.0,0.0,0.8,0.0,0.8928571428571429,0.0,0.9394578809805858,1,1,1,1,H
0,0.9090909090909092,0.109090909090909,0.2,1,0.0,0.0,1.0,1.0,0.8571428571428571,0.3333333333333333,0.957223420381591,1,1,1,1,H
0,0.2727272727272727,0.2,0.2,1,0.0,0.0,0.4,1.0,0.75,0.0,0.8647184292244829,1,0,1,1,M
1,0.7272727272727273,0.1,0.0666666666666666,1,0.0,1.0,0.0,0.0,0.9642857142857144,0.3333333333333333,0.8973427298086694,0,1,0,0,M
0,0.2727272727272727,0.1,0.0666666666666666,1,0.0,0.0,0.6,0.0,0.8214285714285714,0.3333333333333333,0.9704920027934276,1,0,0,0,H
1,0.5454545454545454,0.109090909090909,0.1333333333333333,1,0.0,0.0,1.0,0.0,0.8928571428571429,0.3333333333333333,0.9120179067584832,1,1,1,1,H
1,0.1818181818181818,0.0,0.2,1,0.0,0.0,1.0,0.0,0.7142857142857143,0.0,0.8921524557381882,1,0,1,1,M
0,0.0909090909090909,0.1909090909090909,0.0666666666666666,1,0.0,0.0,0.4,0.0,1.0,0.0,0.9741693585810338,0,0,0,0,H
1,0.5454545454545454,0.109090909090909,0.2,1,0.0,0.0,0.6,0.0,0.9285714285714286,0.3333333333333333,0.9598098488036848,1,1,0,1,H
1,0.1818181818181818,0.2,0.2,1,0.5,0.5,0.2,0.0,0.8571428571428571,0.0,0.910884316594966,0,0,0,0,H
1,0.9090909090909092,0.9090909090909092,0.0,1,0.0,0.0,0.4,0.0,0.75,1.0,0.91928005593121,0,1,0,0,M
0,0.0909090909090909,0.9090909090909092,0.0,2,0.0,0.0,0.8,0.1111111111111111,0.7857142857142857,0.0,0.5026498572197299,0,0,1,0,H
1,0.3636363636363636,0.109090909090909,0.2,1,0.0,0.0,0.2,1.0,1.0,0.3333333333333333,0.9320225611181164,0,1,1,1,H
0,0.2727272727272727,0.2,0.1333333333333333,1,0.0,0.0,0.8,0.0,0.3928571428571428,0.0,0.8824970071774301,1,1,1,1,H
1,0.4545454545454545,0.109090909090909,0.2,1,0.0,0.0,0.4,1.0,0.0,0.3333333333333333,0.9202998855563476,1,1,1,1,H
